country,ifs,id,year,enp_lt,enp_mol,enp_gol,rgdpe,rent ,formgov,elecsys,demstock,ethfrac,elections,bi_elections
Armenia,ARM,2,2010,3.276419707,1.673397281,2.482663071,21075.64063,2.992090322,1,0,48,0.1150442,4,0
Azerbaijan,AZE,3,1998,2.324450952,1.796711519,2.017642705,16578.79883,4.399668914,1,2,-20,0.3035241,1,1
Azerbaijan,AZE,3,1999,2.324450952,1.796711519,2.017642705,17906.12695,15.92110692,1,2,-24,0.3035241,1,0
Azerbaijan,AZE,3,2000,2.103244044,1.380786544,1.692456696,21443.74023,35.32673592,1,2,-28,0.3035241,2,1
Azerbaijan,AZE,3,2001,2.103244044,1.380786544,1.692456696,23873.07227,27.63869405,1,2,-32,0.3035241,2,0
Azerbaijan,AZE,3,2002,2.103244044,1.380786544,1.692456696,24017.85742,25.46103274,1,2,-36,0.3035241,2,0
Azerbaijan,AZE,3,2003,2.103244044,1.380786544,1.692456696,25528.77148,27.25021474,1,2,-40,0.3035241,2,0
Azerbaijan,AZE,3,2004,2.103244044,1.380786544,1.692456696,27610.41992,29.17947053,1,2,-44,0.3035241,2,0
Azerbaijan,AZE,3,2005,2.103244044,1.380786544,1.692456696,39703.83203,38.92225932,1,2,-47,0.3035241,2,0
Azerbaijan,AZE,3,2006,2.611056269,1.994418073,2.294424652,58231.35156,44.57976561,1,2,-51,0.3035241,3,1
Azerbaijan,AZE,3,2007,2.632687447,1.982101097,2.298099288,80557.82813,38.8555541,1,2,-55,0.3035241,3,0
Azerbaijan,AZE,3,2008,2.632687447,1.982101097,2.298099288,106090.625,38.14838821,1,2,-59,0.3035241,3,0
Azerbaijan,AZE,3,2009,2.632687447,1.982101097,2.298099288,102116.6094,26.58029848,1,2,-62,0.3035241,3,0
Azerbaijan,AZE,3,2010,2.632687447,1.982101097,2.298099288,128166.7266,30.46466283,1,2,-66,0.3035241,3,0
Burki. Faso,BFA,4,1993,1.818745036,1.060961907,1.458351832,8932.771484,7.687431608,1,1,-131,0.6782554,1,1
Burki. Faso,BFA,4,1994,1.818745036,1.060961907,1.458351832,8446.503906,11.5547625,1,1,-134,0.6782554,1,0
Burki. Faso,BFA,4,1995,1.818745036,1.060961907,1.458351832,8885.717773,13.88471374,1,1,-137,0.6782554,1,0
Burki. Faso,BFA,4,1996,1.818745036,1.060961907,1.458351832,9826.388672,12.78603159,1,1,-140,0.6782554,1,0
Burki. Faso,BFA,4,1997,1.818745036,1.060961907,1.458351832,10406.85547,12.70913767,1,1,-142,0.6782554,1,0
Burki. Faso,BFA,4,1998,1.202635432,1.005165052,1.104104621,11420.82813,11.62520011,1,1,-145,0.6782554,2,1
Burki. Faso,BFA,4,1999,1.202635432,1.005165052,1.104104621,12193.93652,5.210440352,1,1,-147,0.6782554,2,0
Burki. Faso,BFA,4,2000,1.202635432,1.005165052,1.104104621,12347.60449,5.980081891,1,1,-149,0.6782554,2,0
Burki. Faso,BFA,4,2001,1.202635432,1.005165052,1.104104621,13136.65527,5.37352343,1,1,-149,0.6782554,2,0
Burki. Faso,BFA,4,2002,1.202635432,1.005165052,1.104104621,13789.71582,6.414192958,1,1,-149,0.6782554,2,0
Burki. Faso,BFA,4,2003,3.098063867,1.567108498,2.332979014,14880.16602,7.335971965,1,1,-149,0.6782554,3,1
Burki. Faso,BFA,4,2004,3.098063867,1.567108498,2.332979014,15581.47266,6.187195431,1,1,-149,0.6782554,3,0
Burki. Faso,BFA,4,2005,3.098063867,1.567108498,2.332979014,16707.04688,7.153515195,1,1,-149,0.6782554,3,0
Burki. Faso,BFA,4,2006,3.098063867,1.567108498,2.332979014,17379.59766,7.31111711,1,1,-149,0.6782554,3,0
Burki. Faso,BFA,4,2007,3.098063867,1.567108498,2.332979014,17625.38086,9.183211051,1,1,-149,0.6782554,3,0
Burki. Faso,BFA,4,2008,1.828463882,1.081935109,1.464010967,18353.5332,10.40415147,1,1,-149,0.6782554,4,1
Burki. Faso,BFA,4,2009,1.828463882,1.081935109,1.464010967,18910.19531,12.34505311,1,1,-149,0.6782554,4,0
Burki. Faso,BFA,4,2010,1.828463882,1.081935109,1.464010967,20658.19727,14.92754955,1,1,-149,0.6782554,4,0
Bangladesh,BGD,5,1995,3.071423495,1.992957535,2.485764582,173014.0156,0.457556316,2,2,-33,0.0049751,1,1
Bangladesh,BGD,5,1999,2.513264451,2.017236944,2.218697892,176939.7344,0.279905797,2,2,-19,0.0049751,2,1
Bangladesh,BGD,5,2000,2.513264451,2.017236944,2.218697892,178764.9375,0.613407367,2,2,-15,0.0049751,2,0
Bangladesh,BGD,5,2001,2.513264451,2.017236944,2.218697892,183189.75,0.676894026,2,2,-12,0.0049751,2,0
Bangladesh,BGD,5,2002,2.172947049,1.233256306,1.698085493,190859.375,0.599377835,2,2,-8,0.0049751,3,1
Bangladesh,BGD,5,2003,2.172947049,1.233256306,1.698085493,196731.2188,0.618256083,2,2,-5,0.0049751,3,0
Bangladesh,BGD,5,2004,2.172947049,1.233256306,1.698085493,202885.3594,0.706924507,2,2,-2,0.0049751,3,0
Bangladesh,BGD,5,2005,2.172947049,1.233256306,1.698085493,210007.7969,1.13771035,2,2,2,0.0049751,3,0
Bangladesh,BGD,5,2009,1.606100601,1.048637597,1.328356209,312237.625,1.100879067,2,2,1,0.0049751,4,1
Bangladesh,BGD,5,2010,1.606100601,1.048637597,1.328356209,351113.5,1.20867389,2,2,4,0.0049751,4,0
Cameroon,CMR,6,1993,2.545568825,1.996787792,2.223709819,26645.73633,6.672925874,1,2,-179,0.8918986,1,1
Cameroon,CMR,6,1994,2.545568825,1.996787792,2.223709819,27481.02539,8.852821658,1,2,-181,0.8918986,1,0
Cameroon,CMR,6,1995,2.545568825,1.996787792,2.223709819,29054.79297,11.05338087,1,2,-184,0.8918986,1,0
Cameroon,CMR,6,1996,2.545568825,1.996787792,2.223709819,30991.06055,11.13957551,1,2,-186,0.8918986,1,0
Cameroon,CMR,6,1997,2.545568825,1.996787792,2.223709819,32102.35547,10.11814414,1,2,-188,0.8918986,1,0
Cameroon,CMR,6,1998,2.148991168,1.31570589,1.697940542,33688,6.589979127,1,2,-191,0.8918986,2,1
Cameroon,CMR,6,1999,2.148991168,1.31570589,1.697940542,35247.68359,6.434335383,1,2,-193,0.8918986,2,0
Cameroon,CMR,6,2000,2.148991168,1.31570589,1.697940542,36452.51563,12.51408565,1,2,-195,0.8918986,2,0
Cameroon,CMR,6,2001,2.148991168,1.31570589,1.697940542,36725.78125,7.303119549,1,2,-198,0.8918986,2,0
Cameroon,CMR,6,2002,2.148991168,1.31570589,1.697940542,37930.33984,6.469202721,1,2,-200,0.8918986,2,0
Cameroon,CMR,6,2003,1.426056338,1.032575847,1.225023139,40130.16016,6.671257958,1,2,-202,0.8918986,3,1
Cameroon,CMR,6,2004,1.426056338,1.032575847,1.225023139,41252.84375,7.382317317,1,2,-204,0.8918986,3,0
Cameroon,CMR,6,2005,1.426056338,1.032575847,1.225023139,41873.79297,9.128815212,1,0,-206,0.8918986,3,0
Cameroon,CMR,6,2006,1.426056338,1.032575847,1.225023139,44722.38672,10.50088179,1,0,-209,0.8918986,3,0
Cameroon,CMR,6,2007,1.136377939,1.002349682,1.069417943,45857.45313,11.07096494,1,0,-211,0.8918986,4,1
Cameroon,CMR,6,2008,1.339906198,1.015474231,1.177916946,46341.39453,12.63266949,1,0,-213,0.8918986,4,0
Cameroon,CMR,6,2009,1.339906198,1.015474231,1.177916946,47775.13281,7.000573586,1,0,-215,0.8918986,4,0
Cameroon,CMR,6,2010,1.339298316,1.016067799,1.185667713,50056.41406,8.39486493,1,0,-217,0.8918986,4,0
Colombia,COL,7,1995,2.320798639,1.674899631,1.941246837,285662.0313,2.388815923,1,1,-160,0.0601527,1,1
Colombia,COL,7,1996,2.320798639,1.674899631,1.941246837,287416.3438,3.092219726,1,1,-163,0.0601527,1,0
Colombia,COL,7,1997,2.320798639,1.674899631,1.941246837,294672.5625,2.528140606,1,1,-165,0.0601527,1,0
Colombia,COL,7,1999,2.531100478,1.787184359,2.047088068,274250.875,3.400713346,1,1,-170,0.0601527,2,1
Colombia,COL,7,2000,2.531100478,1.787184359,2.047088068,283890.625,5.080848721,1,1,-172,0.0601527,2,0
Colombia,COL,7,2001,2.531100478,1.787184359,2.047088068,282314.25,3.317977935,1,1,-174,0.0601527,2,0
Colombia,COL,7,2002,2.531100478,1.787184359,2.047088068,287437.9688,3.410149141,1,1,-177,0.0601527,2,0
Colombia,COL,7,2003,3.083263947,2.337169067,2.643634152,297008.6875,4.195636854,1,1,-179,0.0601527,3,1
Colombia,COL,7,2004,3.083263947,2.337169067,2.643634152,313885.7188,5.671890934,1,1,-181,0.0601527,3,0
Egypt. Arab Rep.,EGY,8,1977,1.961495013,1.113385302,1.544783701,50368.67969,9.286550384,0,2,-142,0.0440085,1,1
Egypt. Arab Rep.,EGY,8,1978,1.961495013,1.113385302,1.544783701,52901.96484,11.3366524,0,2,-146,0.0440085,1,0
Egypt. Arab Rep.,EGY,8,1979,1.59787762,1.048903108,1.323718138,52553.39844,26.35852288,0,2,-150,0.0440085,2,1
Egypt. Arab Rep.,EGY,8,1980,1.564398894,1.0347838,1.30456875,54063.53516,28.1046905,0,2,-155,0.0440085,2,0
Egypt. Arab Rep.,EGY,8,1981,1.564398894,1.0347838,1.30456875,64631.04297,23.53784824,0,2,-159,0.0440085,2,0
Egypt. Arab Rep.,EGY,8,1982,1.564398894,1.0347838,1.30456875,64952.44531,18.65895433,0,2,-163,0.0440085,2,0
Egypt. Arab Rep.,EGY,8,1983,1.564398894,1.0347838,1.30456875,74826.04688,19.07064045,0,2,-167,0.0440085,2,0
Egypt. Arab Rep.,EGY,8,1984,1.564398894,1.0347838,1.30456875,84702.74219,19.62589812,0,2,-171,0.0440085,2,0
Egypt. Arab Rep.,EGY,8,1985,1.370442433,1.048749771,1.19205298,90663.34375,18.11763544,0,2,-175,0.0440085,3,1
Egypt. Arab Rep.,EGY,8,1986,1.370442433,1.048749771,1.19205298,91677.19531,7.410211287,0,2,-179,0.0440085,3,0
Egypt. Arab Rep.,EGY,8,1987,1.370442433,1.048749771,1.19205298,94532.85938,10.64274292,0,2,-183,0.0440085,3,0
Egypt. Arab Rep.,EGY,8,1988,1.634264311,1.041172655,1.345671519,93511.30469,9.453184905,0,2,-187,0.0440085,4,1
Egypt. Arab Rep.,EGY,8,1989,1.634264311,1.041172655,1.345671519,104102.8125,12.73829483,0,2,-191,0.0440085,4,0
Egypt. Arab Rep.,EGY,8,1990,1.634264311,1.041172655,1.345671519,116644.7813,16.61691191,0,2,-195,0.0440085,4,0
Egypt. Arab Rep.,EGY,8,1991,1.49160737,1.08068001,1.2622239,135419.0313,11.38578899,0,2,-198,0.0440085,5,1
Egypt. Arab Rep.,EGY,8,1992,1.49160737,1.08068001,1.2622239,150159.3125,10.53224173,0,2,-202,0.0440085,5,0
Egypt. Arab Rep.,EGY,8,1993,1.49160737,1.08068001,1.2622239,173320.6094,9.081659798,0,2,-206,0.0440085,5,0
Egypt. Arab Rep.,EGY,8,1994,1.49160737,1.08068001,1.2622239,198019.9688,7.176697119,0,2,-209,0.0440085,5,0
Egypt. Arab Rep.,EGY,8,1995,1.49160737,1.08068001,1.2622239,233081.0781,7.001489447,0,2,-213,0.0440085,5,0
Egypt. Arab Rep.,EGY,8,1996,1.738811368,1.20732489,1.425652096,281656.0313,7.747816425,0,2,-217,0.0440085,6,1
Egypt. Arab Rep.,EGY,8,1997,1.738811368,1.20732489,1.425652096,294875.4063,5.846579006,0,2,-220,0.0440085,6,0
Egypt. Arab Rep.,EGY,8,1998,1.738811368,1.20732489,1.425652096,298065.0625,3.266667863,0,2,-224,0.0440085,6,0
Egypt. Arab Rep.,EGY,8,1999,1.738811368,1.20732489,1.425652096,314594.9375,4.58964605,0,2,-227,0.0440085,6,0
Egypt. Arab Rep.,EGY,8,2000,1.738811368,1.20732489,1.425652096,329556.1563,6.299080037,0,2,-231,0.0440085,6,0
Egypt. Arab Rep.,EGY,8,2001,1.313142603,1.016009999,1.162853745,345412.3125,5.340375228,0,2,-234,0.0440085,7,1
Egypt. Arab Rep.,EGY,8,2002,1.313142603,1.016009999,1.162853745,355369.875,6.006198969,0,2,-237,0.0440085,7,0
Egypt. Arab Rep.,EGY,8,2003,1.313142603,1.016009999,1.162853745,369520.9688,7.807096713,0,2,-241,0.0440085,7,0
Egypt. Arab Rep.,EGY,8,2004,1.313142603,1.016009999,1.162853745,387957.4375,10.24515617,0,2,-244,0.0440085,7,0
Egypt. Arab Rep.,EGY,8,2005,1.313142603,1.016009999,1.162853745,401935.0313,13.91103528,0,2,-246,0.0440085,7,0
Egypt. Arab Rep.,EGY,8,2006,1.707353668,1.196577003,1.404403818,449044.8438,14.20077586,1,2,-247,0.0440085,8,1
Egypt. Arab Rep.,EGY,8,2007,1.707353668,1.196577003,1.404403818,508523.875,12.98734576,1,2,-249,0.0440085,8,0
Egypt. Arab Rep.,EGY,8,2008,1.707353668,1.196577003,1.404403818,572808.9375,15.74854235,1,2,-251,0.0440085,8,0
Egypt. Arab Rep.,EGY,8,2009,1.707353668,1.196577003,1.404403818,629964.125,8.213618282,1,2,-252,0.0440085,8,0
Egypt. Arab Rep.,EGY,8,2010,1.707353668,1.196577003,1.404403818,721613.0625,8.700007604,1,2,-254,0.0440085,8,0
Ethiopia,ETH,9,1995,1.978823529,1.786873356,1.8125,36140.18359,31.63132929,1,.,-304,0.6935933,1,1
Ethiopia,ETH,9,1996,1.220842065,1.01507155,1.111801242,36376.30859,28.60526031,2,2,-303,0.6935933,2,1
Ethiopia,ETH,9,1997,1.220842065,1.01507155,1.111801242,39751.50781,27.00720712,2,2,-303,0.6935933,2,0
Ethiopia,ETH,9,1998,1.220842065,1.01507155,1.111801242,35333.05469,31.15405302,2,2,-302,0.6935933,2,0
Ethiopia,ETH,9,1999,1.220842065,1.01507155,1.111801242,35519.58203,19.52182379,2,2,-301,0.6935933,2,0
Ethiopia,ETH,9,2000,1.220842065,1.01507155,1.111801242,35181.51563,18.35318323,2,2,-301,0.6935933,2,0
Ethiopia,ETH,9,2001,4.627262285,3.351625458,4.110727524,38737.45703,17.99123259,2,2,-300,0.6935933,3,1
Ethiopia,ETH,9,2002,4.627262285,3.351625458,4.110727524,35074.96484,23.0259023,2,2,-300,0.6935933,3,0
Ethiopia,ETH,9,2003,4.627262285,3.351625458,4.110727524,34936.23047,36.18727171,2,2,-299,0.6935933,3,0
Ethiopia,ETH,9,2004,4.627262285,3.351625458,4.110727524,41347.88672,27.868535,2,2,-299,0.6935933,3,0
Ethiopia,ETH,9,2005,4.627262285,3.351625458,4.110727524,48305.03125,23.2950893,2,2,-298,0.6935933,3,0
Ethiopia,ETH,9,2006,2.42971246,1.31222922,1.868558198,50429.27344,18.90354229,2,2,-300,0.6935933,4,1
Ethiopia,ETH,9,2007,2.42971246,1.31222922,1.868558198,62060.42578,21.99445479,2,2,-301,0.6935933,4,0
Ethiopia,ETH,9,2008,2.42971246,1.31222922,1.868558198,69833.625,18.86423609,2,2,-303,0.6935933,4,0
Ethiopia,ETH,9,2009,2.42971246,1.31222922,1.868558198,71537.45313,16.55264301,2,2,-305,0.6935933,4,0
Ethiopia,ETH,9,2010,2.42971246,1.31222922,1.868558198,81205.21875,16.14643628,2,2,-306,0.6935933,4,0
Fiji,FJI,10,1993,3.700906344,2.185184509,2.898651924,4459.464844,1.965385401,2,2,117,0.7105385,1,1
Fiji,FJI,10,1994,3.370013755,2.142652532,2.768038847,4646.822754,2.08343505,2,2,120,0.7105385,2,1
Fiji,FJI,10,1995,3.370013755,2.142652532,2.768038847,4750.433105,1.761141433,2,2,123,0.7105385,2,0
Fiji,FJI,10,1996,3.370013755,2.142652532,2.768038847,5001.643555,1.949700271,2,2,126,0.7105385,2,0
Fiji,FJI,10,1997,3.370013755,2.142652532,2.768038847,4806.232422,1.544677021,2,2,129,0.7105385,2,0
Fiji,FJI,10,1998,3.370013755,2.142652532,2.768038847,4777.474609,1.450149098,2,2,132,0.7105385,2,0
Fiji,FJI,10,2000,3.168447517,1.442108956,2.368322315,4909.331543,0.97615132,2,2,138,0.7105385,3,1
Fiji,FJI,10,2002,2.802112285,2.207135642,2.542114612,5013.960938,1.183596087,2,2,144,0.7105385,4,1
Fiji,FJI,10,2003,2.802112285,2.207135642,2.542114612,4981.26709,1.223888992,2,2,146,0.7105385,4,0
Fiji,FJI,10,2004,2.802112285,2.207135642,2.542114612,5147.668945,1.28508463,2,2,150,0.7105385,4,0
Fiji,FJI,10,2005,2.802112285,2.207135642,2.542114612,5110.320313,1.21009873,2,2,153,0.7105385,4,0
Gabon,GAB,11,1992,2.255319149,1.283386148,1.74286678,8597.265625,26.10268754,1,2,-197,0.6881428,1,1
Gabon,GAB,11,1993,2.255319149,1.283386148,1.74286678,8541.558594,33.67347206,1,2,-199,0.6881428,1,0
Gabon,GAB,11,1994,2.255319149,1.283386148,1.74286678,9200.044922,34.2163402,1,2,-202,0.6881428,1,0
Gabon,GAB,11,1995,2.255319149,1.283386148,1.74286678,9454.592773,33.52798164,1,2,-204,0.6881428,1,0
Gabon,GAB,11,1996,2.255319149,1.283386148,1.74286678,10561.19336,36.50981949,1,2,-207,0.6881428,1,0
Gabon,GAB,11,1997,1.763364993,1.075128441,1.422556629,9112.520508,34.88075725,1,2,-209,0.6881428,2,1
Gabon,GAB,11,1998,1.763364993,1.075128441,1.422556629,8199.898438,20.91263932,1,2,-211,0.6881428,2,0
Gabon,GAB,11,1999,1.763364993,1.075128441,1.422556629,9445.088867,30.52696522,1,2,-214,0.6881428,2,0
Gabon,GAB,11,2000,1.763364993,1.075128441,1.422556629,12120.59277,44.20121092,1,2,-216,0.6881428,2,0
Gabon,GAB,11,2001,1.763364993,1.075128441,1.422556629,11946.09375,31.61218878,1,2,-218,0.6881428,2,0
Gabon,GAB,11,2002,1.843640151,1.068407427,1.471649653,12304.72168,27.78739454,1,2,-221,0.6881428,3,1
Gabon,GAB,11,2003,1.843640151,1.068407427,1.471649653,13965.11621,29.66302155,1,2,-223,0.6881428,3,0
Gabon,GAB,11,2004,1.843640151,1.068407427,1.471649653,17003.08203,34.07688668,1,2,-225,0.6881428,3,0
Gabon,GAB,11,2005,1.843640151,1.068407427,1.471649653,24147.44336,41.22143945,1,2,-227,0.6881428,3,0
Gabon,GAB,11,2006,1.843640151,1.068407427,1.471649653,22824.15625,41.5863685,1,2,-229,0.6881428,3,0
Gabon,GAB,11,2007,2.075526088,1.064018821,1.619871586,22960.10742,39.00661046,1,2,-232,0.6881428,4,1
Gabon,GAB,11,2008,2.075526088,1.064018821,1.619871586,24213.25586,43.22566264,1,2,-234,0.6881428,4,0
Gabon,GAB,11,2009,2.075526088,1.064018821,1.619871586,18580.79688,26.22845924,1,2,-232,0.6881428,4,0
Gabon,GAB,11,2010,2.072837196,1.066538462,1.635296664,19898.76758,33.48307797,1,2,-231,0.6881428,4,0
Georgia,GEO,12,1998,2.820682981,1.588275996,2.138922948,14016.22754,0.210429704,1,0,22,0.49551,1,1
Georgia,GEO,12,1999,2.820682981,1.588275996,2.138922948,13953.58496,0.422199641,1,0,25,0.49551,1,0
Georgia,GEO,12,2000,2.616649145,1.503422988,2.038246727,13903.61914,0.728155173,1,0,28,0.49551,2,1
Georgia,GEO,12,2001,2.616649145,1.503422988,2.038246727,14427.77344,0.762194808,1,0,30,0.49551,2,0
Georgia,GEO,12,2002,2.616649145,1.503422988,2.038246727,15356.78125,0.59647991,1,0,33,0.49551,2,0
Georgia,GEO,12,2003,2.616649145,1.503422988,2.038246727,17012.91602,1.000656431,1,0,36,0.49551,2,0
Georgia,GEO,12,2007,2.05252393,1.112676393,1.600663087,26090.26953,1.15886892,1,0,51,0.49551,3,1
Georgia,GEO,12,2008,2.05252393,1.112676393,1.600663087,28275.6543,1.033476094,1,0,54,0.49551,3,0
Georgia,GEO,12,2009,1.548946716,1.038920938,1.295831029,29483.14063,1.006969729,1,0,57,0.49551,4,1
Georgia,GEO,12,2010,1.548946716,1.038920938,1.295831029,31082.00586,1.846831131,1,0,60,0.49551,4,0
Guinea,GIN,13,1996,2.320714286,1.231657015,1.779421025,17127.82422,15.59567272,1,0,-227,0.7496075,1,1
Guinea,GIN,13,1997,2.320714286,1.231657015,1.779421025,15686.25391,11.90041001,1,0,-228,0.7496075,1,0
Guinea,GIN,13,1998,2.320714286,1.231657015,1.779421025,15158.7041,12.15520926,1,0,-229,0.7496075,1,0
Guinea,GIN,13,1999,2.320714286,1.231657015,1.779421025,14171.30371,10.76424597,1,0,-229,0.7496075,1,0
Guinea,GIN,13,2000,2.320714286,1.231657015,1.779421025,13631.71387,12.98582845,1,0,-230,0.7496075,1,0
Guinea,GIN,13,2001,2.320714286,1.231657015,1.779421025,12707.93066,13.54423534,1,0,-230,0.7496075,1,0
Guinea,GIN,13,2002,2.320714286,1.231657015,1.779421025,12004.57715,13.84617949,1,0,-231,0.7496075,1,0
Guinea,GIN,13,2003,1.698379509,1.094773661,1.38616206,11008.75879,16.29306284,1,0,-231,0.7496075,2,1
Guinea,GIN,13,2004,1.698379509,1.094773661,1.38616206,10669.12891,15.16487385,1,0,-232,0.7496075,2,0
Guinea,GIN,13,2005,1.698379509,1.094773661,1.38616206,10463.64844,23.14086781,1,0,-232,0.7496075,2,0
Guinea,GIN,13,2006,1.698379509,1.094773661,1.38616206,10643.34766,27.24876709,1,0,-233,0.7496075,2,0
Guinea,GIN,13,2007,1.698379509,1.094773661,1.38616206,11166.9873,24.93467245,1,0,-234,0.7496075,2,0
Gambia. The,GMB,14,1997,1.689354276,1.084025474,1.378529273,1845.869751,2.609135735,1,2,144,0.7278148,1,1
Gambia. The,GMB,14,1998,1.689354276,1.084025474,1.378529273,1901.962769,2.544958892,1,2,141,0.7278148,1,0
Gambia. The,GMB,14,1999,1.689354276,1.084025474,1.378529273,2034.785767,2.00023678,1,2,138,0.7278148,1,0
Gambia. The,GMB,14,2000,1.689354276,1.084025474,1.378529273,2169.150879,2.254186228,1,2,136,0.7278148,1,0
Gambia. The,GMB,14,2001,1.689354276,1.084025474,1.378529273,2220.393311,2.473120836,1,2,133,0.7278148,1,0
Gambia. The,GMB,14,2002,1.134975369,1.002795506,1.068513213,2048.897705,3.525655344,1,2,130,0.7278148,2,1
Gambia. The,GMB,14,2003,1.134975369,1.002795506,1.068513213,2190.103271,6.128420645,1,2,127,0.7278148,2,0
Gambia. The,GMB,14,2004,1.134975369,1.002795506,1.068513213,2496.637451,4.242574218,1,2,124,0.7278148,2,0
Gambia. The,GMB,14,2005,1.134975369,1.002795506,1.068513213,2484.765137,4.274634111,1,2,122,0.7278148,2,0
Gambia. The,GMB,14,2006,1.134975369,1.002795506,1.068513213,2458.035645,4.389777091,1,2,119,0.7278148,2,0
Gambia. The,GMB,14,2007,1.134975369,1.002795506,1.068513213,2505.103516,4.856009888,1,2,116,0.7278148,2,0
Gambia. The,GMB,14,2008,1.292929293,1.013059892,1.151978459,2608.630615,5.152129862,1,2,114,0.7278148,3,1
Gambia. The,GMB,14,2009,1.292929293,1.013059892,1.151978459,2718.731445,5.313706464,1,2,111,0.7278148,3,0
Gambia. The,GMB,14,2010,1.292929293,1.013059892,1.151978459,2877.194824,4.645341596,1,2,108,0.7278148,3,0
Guatemala,GTM,15,1986,2.992220227,1.663445598,2.292081863,29166.60938,0.534163942,1,0,-46,0.6436841,1,1
Guatemala,GTM,15,1987,2.992220227,1.663445598,2.292081863,28891.25586,0.612431663,1,0,-44,0.6436841,1,0
Guatemala,GTM,15,1988,2.992220227,1.663445598,2.292081863,30408.24219,0.532287504,1,0,-42,0.6436841,1,0
Guatemala,GTM,15,1989,2.992220227,1.663445598,2.292081863,31774.95703,0.594049288,1,0,-40,0.6436841,1,0
Guatemala,GTM,15,1990,2.992220227,1.663445598,2.292081863,33234.61719,1.81558836,1,0,-38,0.6436841,1,0
Guatemala,GTM,15,1991,2.992220227,1.663445598,2.292081863,35438.66406,1.655469044,1,0,-37,0.6436841,1,0
Guatemala,GTM,15,1992,4.726676043,3.864148517,4.344002975,36326.25,1.510111612,1,0,-35,0.6436841,2,1
Guatemala,GTM,15,1993,4.726676043,3.864148517,4.344002975,38583.33594,1.32158719,1,0,-33,0.6436841,2,0
Guatemala,GTM,15,1994,4.726676043,3.864148517,4.344002975,41145.23438,1.345447308,0,0,-31,0.6436841,2,0
Guatemala,GTM,15,1995,3.482045702,2.542102939,2.967746161,43889.56641,1.562775386,0,0,-29,0.6436841,3,1
Guatemala,GTM,15,2002,2.352865303,1.632113067,1.931765331,61456.69922,1.367033028,1,0,3,0.6436841,4,1
Guatemala,GTM,15,2003,2.352865303,1.632113067,1.931765331,63583.77344,1.479435945,1,0,8,0.6436841,4,0
Guatemala,GTM,15,2004,4.441992883,3.54426603,4.107863657,66131.60938,1.412904336,1,0,12,0.6436841,5,1
Guatemala,GTM,15,2005,4.441992883,3.54426603,4.107863657,68825.26563,1.495395319,1,0,17,0.6436841,5,0
Guatemala,GTM,15,2009,4.687194893,3.487047084,4.012090044,87864.48438,1.592335557,1,0,34,0.6436841,6,1
Guatemala,GTM,15,2010,4.687194893,3.487047084,4.012090044,92085.58594,2.567912973,1,0,38,0.6436841,6,0
